"address","earnings","reasons"
"0x4650d0c9e3148a8f66af374820aa2eca0a47dad4","24000","dao"
"0x4676c8d2892894bcf81b1bf67256ad383ba7e6a8","12000","dao"
"0x46c8b6fe35f04ab7a5c4194bced33a1f682613c8","12000","dao"
"0x47192d33347990c1c48bbbe6d5f2eb85246aaff4","12000","dao"
"0x474d7d70207fc6e133551927dd3cb212b086018f","12000","dao"
"0x47f0512de224b063b676904780a0f26a13f7f79b","12000","dao"
"0x485c10dd4ea8bf25dacb6609035f5946c57d13b5","12000","dao"
"0x48b576c87e788a762d6f95a456f2a39113b46950","48000","dao"
"0x48f5aefd7b667d9ff433d8061732c6346eef6f4b","12000","dao"
"0x491bf1ebc0bc77dfbe1fb2da658c04056f8ab925","12000","dao"
"0x49255ede49ca2171940d3749b8eab11885fb1714","12000","dao"
"0x4939c26c681706f0e780204c7414ae998758a12f","12000","dao"
"0x49d43f74988c31e2df1e751e5f0ee160ecdbc5cf","12000","dao"
"0x4b1595c8e87281055db92a2a85b611eda88c60a7","12000","dao"
"0x4b1f10157951a7b72640e5b33d53d9dbea049b2f","12000","dao"
"0x4b3f38608ab22ae115a861dfeab213332bd26160","12000","dao"
"0x4b53f4223ed333710412855c9fb16f30ef152d1a","12000","dao"
"0x4bb7fba588b4254536de4316e8fb346bbe275ecb","12000","dao"
"0x4bc91bd7126b68cbd18f367e59754b878b72b848","24000","dao"
"0x4bef12b203cb1cac617e538c4f77014050121a29","12000","dao"
"0x4cc203e90dd40f84bbb2bc92c6d7a610930a6d61","12000","dao"
"0x4df0df2d3780a192e4ee87cce6156c562904e940","12000","dao"
"0x4e43e6852b8eaeb67f54d84506787068ec94c686","12000","dao"
"0x4eb7e921393c3debaced3378bb458cdcf9f1ac15","12000","dao"
"0x4ed1379e58c9aa4b727ef5ba86bf1314fab713d6","12000","dao"
"0x4f49c34759b7e888ce77de9dd34fec63d63495cc","24000","dao"
"0x4f54d1b054ee8377f771667c0d1734d9381e1330","24000","dao"
"0x4f8d8702473d33346fafb8c67fa8581922ddd3f4","12000","dao"
"0x4fa20c4fbc0ba2cacbf28f1dbb1f0375fed07861","12000","dao"
"0x50b1d35865c5c98a7d874781f94028ed2028e914","12000","dao"
"0x50d36f27872f637ec9ecb4eedff300df44a608ab","12000","dao"
"0x512624065dcf13a91747dfc72fe19926fdb1790d","12000","dao"
"0x51916782ae75595d5fc5c8f24102179acf888414","12000","dao"
"0x51aeb9ce281bdfd6e1f85169ffe71326f80e9ddb","12000","dao"
"0x51ce9aa13628ab25cbda0b1ac9438184c2603cf2","12000","dao"
"0x51d3dd2af3dd6611a3a496248201223a49c939d2","12000","dao"
"0x51e6c97170d3ffac0e236ba4c24087437fc18409","12000","dao"
"0x52905a5e83a83f6a9d0e64ad24e79a37512d35b9","12000","dao"
"0x53144384f3425c985ca395fc4474819274252b54","24000","dao"
"0x532459cafadf17ef3f4515b2c8c2130dbbf1dd1a","12000","dao"
"0x534d87754d669aba8eb123f8edc3cf916cc93730","12000","dao"
"0x53924596c5b022f093177710e898183662daf196","24000","dao"
"0x53b723f029f0a099ce9003eb1097f3bee8dc03c7","12000","dao"
"0x53e2501d2232d66b1e64edd5140dae7cfd71895c","12000","dao"
"0x53fa36f336d8909274e339b539d178ed11ae52e0","12000","dao"
"0x5408db02c6d7c1fdded2e077f1a36b46814fa2cb","12000","dao"
"0x541fb8f82b694d58c6c7d3941b2d9dd57f3649e0","12000","dao"
"0x5441fc2daff6cc6702c6c3d4e81329837501ae8b","12000","dao"
"0x549e38671a76ef69e8eb693e7d0d64f1e3f22032","24000","dao"
"0x54f61f68d26fc7e6104c6d673021fd6e3db6fbb1","12000","dao"
"0x5579296770d164fda4d4c89106121e025242f939","12000","dao"
"0x558c4b1ad2b22aaca9374efd3562dbda089c40a8","12000","dao"
"0x559b2f045fab35309505a92f5418609ccc011234","12000","dao"
"0x55b9eb9970810d09e3755d36f29eea3b1fe3cec7","12000","dao"
"0x564242785498be5a25ee8b8ed6ffc6093a46b750","12000","dao"
"0x564b2064ba7ff4ca1d98f441d1ea7fd612810e11","12000","dao"
"0x56a090734d40037545d617a5ef56309b3ed499a4","12000","dao"
"0x56ae44bce5b268ca616e417499727e4d27dee478","12000","dao"
"0x56f2d2e6a8efb6d2ba2d6b765bb99272993e2f57","12000","dao"
"0x579f6baea68d89a0a11514d8342c5a427e94ea63","12000","dao"
"0x57f0d10bf4b85ec43886d1dd3ea6ef1b1a0e6e50","12000","dao"
"0x583af3e7edf59de90d30d1995e17ee280ac0cc35","12000","dao"
"0x587ed699ca71f11fa5d008cac8d36b3b907abff9","12000","dao"
"0x58ef08c822b2d02da8fbd01a5837a6ded0cd8b70","12000","dao"
"0x595ef74cfca44eac149740e18d6d8c80309c4e1b","24000","dao"
"0x5ac3a223c2a8952da434533668d60a632159a2f5","12000","dao"
"0x5b987e7d8dfe6e28744bf5390c80e08925d5cab8","12000","dao"
"0x5bc928bf0dab1e4a2ddd9e347b0f22e88026d76c","12000","dao"
"0x5c99cde1280e98d398337e6ff0bae720b0bfce57","12000","dao"
"0x5d199d30f531a83481092422f2b854b1e517d30a","12000","dao"
"0x5d911448400638b8a54db44b336db53ad80af271","12000","dao"
"0x5e59123b53bfaa4632183b115c9f93fb71fb2bae","12000","dao"
"0x5ead9c10e4c0cd7d362775c179e1e3f0861706f2","12000","dao"
"0x5ecfa41eb5ab040757b0a0bdcefc7803ea5d2217","12000","dao"
"0x5ee49d02d52b277a8612e712faf4dc4d0a579573","12000","dao"
"0x5f40311b71dd57bc6248a8957cf0768816fbcee1","12000","dao"
"0x5f460bf6dcfbdca0b643b73dedc027ef892bb94e","24000","dao"
"0x5fb2d60aad5bda4ff07f2ca7954e1d273b9128e9","12000","dao"
"0x603b96e4f5c3319fbc37b16ed86a3414571bcdca","12000","dao"
"0x604b4dacb4c89ad08f5fb592d6b559b8da28bc72","12000","dao"
"0x60562e53c3e71f632c3aca226a5bb1e0cf767670","12000","dao"
"0x607e6697233d045ee6a586b303630298dd80515d","12000","dao"
"0x60885ad75d451c3e992f916f20e54e383af17076","12000","dao"
"0x610c4f39c8140dedfad45ce1ad6538fd0e97d3dc","12000","dao"
"0x61236514a301ecabb04bf11c686be043ff1ce71a","12000","dao"
"0x6167ed79f82de1c2c97cdeb1dc6e52da3891ea40","12000","dao"
"0x618f356649c8991a4b806283284d9b4f72f0a883","12000","dao"
"0x61aa408533dfe2f98ec33c26280d2f4c721b1bd5","12000","dao"
"0x61e15a09a6e9cfd79dda3bc174083655282c5d8a","12000","dao"
"0x625d6514b80f7ae51179a58be1367152771c57d1","12000","dao"
"0x62c8f633062d0da93f373e806231e77e6a8c11cc","12000","dao"
"0x6378251c6a473b53e3406fb22a8df41b88770b9b","12000","dao"
"0x6378eaaa0f34eaacb166c09a7f004deb44bd6908","12000","dao"
"0x63a41c843e663fa949e0b722627dea2ed2c36f63","12000","dao"
"0x6474fa66b0e303e5a102c5338be67c43bd8e549f","12000","dao"
"0x64c4bffb220818f0f2ee6dae7a2f17d92b359c5d","12000","dao"
"0x64c5480bf1ba9c1e7fc3695a349e26446d777e7f","12000","dao"
"0x64cba79893ba9d254509f7a4478b1d62b2f796e7","12000","dao"
"0x650b1d8dad57ef50a879b60fb19cc8c8ee003e9a","12000","dao"
"0x655132314e811fefb7508347609dad2463c736b8","12000","dao"
"0x6565219e0bb323e56a7e668fd1e629498c9d9aae","12000","dao"
"0x65f6eca8b6e725ca600f522f8dff4b1bb5be2ccf","12000","dao"
"0x6613fdc9dcee727738c2055f14bbfc7d12c765b4","24000","dao"
"0x663f323589a350e457e86d6ca75ce25e2effef97","12000","dao"
"0x668d2e10690e4cfb6e5a828b07307f342cb6e230","12000","dao"
"0x6695f50eada6069c8494d65654e52f4c8e43b0bf","12000","dao"
"0x6718e9ca1376fe54e9493bfca0188cd08c396db4","12000","dao"
"0x673e43ae664d2c81769095fa986c7ce93328f850","12000","dao"
"0x677372d7316f6ff0140b732833912833a1a0b538","12000","dao"
"0x67e5ab5b573f01030a1076dda7a79ef0f31a1bfa","12000","dao"
"0x68253441cead157dca3395b5b477aaf08109451f","12000","dao"
"0x682ddc74318e83bbc586b5f8621e029691e190a8","12000","dao"
"0x68be8d7053181e4968063df4aad06975751ad75e","12000","dao"
"0x6932738c40b6a4b0af2bdc7345e69d96c3841b8d","12000","dao"
"0x69423a88dbeab0177e935a5c63a79f5e576f5c06","12000","dao"
"0x699ef6a96c69c41d6e09280632d0f771953e0ecb","12000","dao"
"0x69a7da6fd1caf15f9963fd2d49f74c6b3cc25a32","12000","dao"
"0x69dcc95ac672c20103b0e2f4d1b7656b51cd4296","12000","dao"
"0x6a2554452d6ce88db03df8cf918291435c24a888","12000","dao"
"0x6a8ae9f1ebefd842dc7e9ea68d48d0a9a753d5b4","24000","dao"
"0x6abb326dcfa3af761fdf860e0430d99de9a74a3c","12000","dao"
"0x6b49c89dc6480094c234a0db749de8649d44b1fa","12000","dao"
"0x6b759bf480407d19c8903c16023c706868c29a2a","36000","dao"
"0x6b847ae3ab2f921344c00227980d0048388af0f0","12000","dao"
"0x6b8c9678c2e8764749160cb6886426ee27669b79","12000","dao"
"0x6bb5f8c1ba3d4abadefb24d22bdee6b2ac89fb11","12000","dao"
"0x6be232616b4862f5dbc14fd19bb704d7596cb1ff","12000","dao"
"0x6cb0584cea95123c9dc1ba14f060fca9bc3f5469","12000","dao"
"0x6cb540db4d80f82a18effc24b94e428b775523af","12000","dao"
"0x6cc4ead03b6fda979fa33b40546ba5d09c35396a","12000","dao"
"0x6d767a5e428298e89ecb0f779c938a9c0b8f9cd1","12000","dao"
"0x6df8ee83068463e578ef77ce2dd8673a01f33333","12000","dao"
"0x6ed05683d070a45acdcc689d15b30b744fdb9aea","12000","dao"
